N_name,Name,Income,Liab_ratio,Total_assete,EPS,Networth,Return_Eq,Revenue,Turnover,Stock,Reture_A,SV,Top 100
1465,偉全,0.2143252054940175,2.3268261416000366,3.395686151723695,-0.4713305625928038,1.4329836251115131,-0.8710160681744364,-0.0704165934001257,-1.3307461874723776,4.410777858735266,-1.1428076796917894,0.0,0.0
2548,華固,0.1286318649783496,1.9802956976936787,0.32308112654933,0.0909386978472453,0.2262076446712709,0.1383499668948919,-0.139965837152351,-1.2977877024364095,0.1635603440331393,-0.8582723224247506,-0.1072360947242237,0.0
8261,富鼎,0.0476113214670504,2.3308555653663894,0.9588008624758144,-0.4246968561582026,0.3355946962413415,-0.4954966194220521,-0.1247831645184437,-1.3307461874723776,1.552996049389242,-1.0923581482614633,0.0,0.0
2250,IKKA-KY,-0.0876935136404811,2.101178410684269,0.1574341870471702,-0.404710981971945,0.0109343426187046,-0.6164693277449679,-0.1606154963031805,-1.3417323491510336,0.2652193675394966,-1.0620884294032678,-0.1067862585764133,0.0
1470,大統新創,-0.1327488680546784,2.42252495605092,0.2468860590682731,-0.4713305625928038,-0.0831341194241228,-0.8143101111480696,-0.1531844742006866,-1.3307461874723776,0.1673765399736767,-1.1488616234634283,-0.1073438990948538,0.0
1417,嘉裕,0.015321817587789,2.302145921031124,0.9909305527282996,-0.4340235974451229,0.364836038862214,-0.6744354171496983,-0.1279768997791405,-1.3197600257937216,1.1594623625834006,-1.1145559420908069,-0.1072606897512118,0.0
5284,jpp-KY,-0.0356976862010535,2.345965904490213,0.8711310647042145,-0.464668604530718,0.2482162787468601,-0.757604154121703,-0.1360080427537601,-1.3197600257937216,1.2304070929311697,-1.1306997921485111,0.0,0.0
1110,東泥,-0.0548959167577157,2.1550719535592395,0.3014476258992243,-0.4140377232588652,0.1033494895732166,-0.6101686658531493,-0.1490774679989662,-1.3197600257937216,0.5471678591718909,-1.0641064106604807,0.0,0.0
3702,大聯大,-0.0477378870438252,2.253289157864094,0.7094100792588737,-0.5073051361280677,0.3043331184616935,-0.8571546120124358,-0.1460791912403527,-1.3307461874723776,1.0400887513706547,-1.124645848376872,0.0,0.0
1515,力山,0.0248916027966578,1.3018414710339934,-0.0041915885242899,-0.21817615623354,0.0519854672614508,0.1824546001376218,-0.1182649828757406,-1.2318707323644733,0.2912972719375429,-0.5535571525855814,-0.1065630644529979,0.0
2722,夏都,0.0373911882712157,1.3396173188435527,0.0720846085080708,-0.3434209678007548,0.1456508581183562,-0.1363588915883959,-0.1175500686767282,-1.2648292174004414,0.6448253192173755,-0.729121521963116,-0.1067809717949111,0.0
1907,永豐餘,-0.1405428156930851,2.092615885180769,-0.1082072590503088,-0.1528889672250983,-0.183241488299408,-0.1703824658042159,-0.1540822678397116,-1.2868015407577535,-0.2540308649914016,-0.934955610198846,-0.1067432747442004,0.0
2392,正崴,-0.0733324501098868,-0.3703693920024991,-0.1171209347686983,-0.1968578904348651,0.0065329213920522,-0.4476115890442312,-0.1559213537446593,-1.2758153790790974,0.0047147298437746,-0.2589318890324773,-0.1071365653159448,0.0
2642,宅配通,-0.1052996825944339,-1.1868313826597745,-0.1426900756865549,-0.307446394265491,-0.0569479484179485,-0.5459019145566003,-0.1390635084435942,-0.9682028520767288,-0.0508411034899159,-0.1297810885708428,-0.1071549541211695,0.0
1445,大宇,-0.153263109249252,-0.260063916398586,-0.1675364030130937,-0.4326912058327057,-0.2008641639246963,-0.3405003368833162,-0.1435487474699001,-0.4188947681439276,-0.1649460681866351,-0.2105003388593645,-0.1068561360362673,0.0
2453,凌群,-0.0948460145948123,-1.1742394333899215,-0.1616882839978762,-0.1702100581865216,-0.1511133736808617,0.5781361669438254,-0.128215997064802,-0.0014206243549987,-0.1937301183063617,1.379668891824512,0.0,0.0
1460,宏遠,-0.1740136496273921,-1.7222410656139289,-0.1646955889691497,-0.5566036257875033,-0.1612211909307211,-1.3851500785468287,-0.158261124362547,-1.067078307184633,-0.0882577414976714,-1.171059417292772,-0.1073393018935476,0.0
8443,阿瘦,-0.1453087170084331,0.878248297596135,-0.1520739924480862,-0.4206996813209511,-0.1784658638105359,-0.4035069558015015,-0.0728662368442971,0.6357767530070508,-0.1184896114435543,-0.6140965903019726,0.0,0.0
4764,雙鍵,-0.1365854954632915,-0.612134817983679,-0.1655204980366621,-0.3207703103896627,-0.184001150665658,-0.0040449918602066,-0.1359726381751585,-0.0893099177842469,-0.2404767992403212,0.2980309379583218,0.0,0.0
1527,鑽全,0.0,0.4682544293697178,-0.1780031769514466,0.0,-0.2428395205086168,4.476889537712147e-16,-0.1641746050130312,-0.6935488101103282,-0.3245535094148056,1.7923274040159507e-16,0.0,0.0
4755,三福化,-0.0842859179736734,0.379607106509952,-0.1497326898258742,0.261484824236644,-0.1593391021308912,1.0116217051009404,-0.0551526148747684,0.8225415015442031,-0.2276432047270715,0.5038650261940522,-0.1072377037446809,0.0
2360,致茂,-0.1611623244696687,0.1947572912285083,-0.1593238315324639,-0.4993107864535647,-0.1784385034565964,-0.9466240108762588,-0.1431267056714815,-0.6935488101103282,-0.1237849420795008,-0.830020584823768,-0.1072721827544773,0.0
6251,定穎,-0.1278710646458492,-0.8952018375699767,-0.1656616675671995,-0.3287646600641658,-0.1766749727950771,0.1333094373814372,-0.1243975734681345,0.2842195792900579,-0.1212698491545648,0.6673215080283081,-0.1072498863281423,0.0
