Income,Liab_ratio,Total_assete,EPS,Networth,Return_Eq,Revenue,Turnover,Stock,Reture_A,Top_100
-128179,89.92,2218122.0,-0.55,184737,-67.05,1188984,1.23,2367025.0,-5.8,0
1551301,61.35,29541235.0,3.59,10903546,15.31,15390789,1.05,4761343.0,5.46,0
320145,46.53,6119464.0,1.51,3327346,9.74,5113892,1.42,2174540.0,5.14,0
822190,50.01,9541148.0,4.5,3761193,23.11,11374207,1.97,1814735.0,9.37,0
28653,17.67,473379.0,0.83,407295,7.08,820184,2.51,343948.0,6.09,0
202305,26.74,4823283.0,0.76,3367379,6.16,3383919,1.19,2278250.0,4.33,0
457514,60.65,8692352.0,1.75,3547016,13.21,8471592,1.26,2610585.0,4.91,0
159750,47.72,3669776.0,2.1,1760329,9.25,4797165,2.58,762300.0,4.38,0
286687,70.94,22745135.0,0.84,6704926,4.33,14446208,1.29,3128979.0,1.27,0
36537,54.16,5033319.0,0.21,2203927,1.67,1908786,0.82,1653104.0,0.72,0
324045,18.48,5284732.0,4.41,4323976,7.67,1052991,0.43,734001.0,6.27,0
178317,38.24,1847517.0,2.97,1132693,15.95,1246649,1.2,600000.0,10.04,0
406950,15.88,5089151.0,2.94,4116934,10.01,3589313,0.67,1385706.0,8.17,0
-118019,52.91,5010635.0,-0.61,2184250,-5.37,3210946,1.35,1993310.0,-2.36,0
62077,43.48,1627586.0,0.65,1074091,5.81,609148,0.65,959680.0,3.84,0
594202,55.28,6023970.0,3.92,3251872,18.39,3093583,0.89,965942.0,9.65,0
-55089,16.76,4424494.0,-0.3,3540095,-1.56,1609928,0.87,1836081.0,-1.27,0
791441,63.33,44787320.0,1.47,16002072,5.08,13125899,0.59,3761221.0,1.78,0
-5000,54.42,6428761.0,0.86,2723530,-0.19,2866192,0.85,985475.0,-0.08,0
197435,51.93,6724372.0,1.6,2960256,6.74,8836360,2.58,1237426.0,3.1,0
285560,61.38,18351175.0,1.12,6407043,4.51,5211042,0.61,2545175.0,1.58,0
879196,25.4,5445598.0,10.75,3990104,22.55,7119214,2.52,820684.0,16.29,0
-12302,84.34,458269.0,-0.57,172935,-6.99,275762,0.61,264105.0,-2.69,0
-18592,60.81,4436747.0,-0.28,1251074,-1.47,2293323,1.21,653700.0,-0.42,0
-20657,13.24,1566895.0,-0.24,1336100,-1.55,311106,0.7,854736.0,-1.33,0
456555,58.81,3839724.0,5.79,1714454,27.57,5271945,2.33,788000.0,12.09,0
845641,25.43,7981683.0,13.76,5054478,17.06,6965819,1.63,605356.0,10.74,0
539476,41.89,9452848.0,3.63,4735991,11.58,5156550,1.11,1410775.0,5.93,0
10300,53.46,3146395.0,0.1,1479953,0.7,1756718,1.06,1030865.0,0.33,0
974682,42.95,11770911.0,7.81,6241835,16.15,9663341,1.63,1237242.0,8.81,0
685775,53.84,12308522.0,4.39,6465981,10.73,5205033,0.83,1104004.0,5.52,0
173670,52.86,2673908.0,2.64,1292135,13.66,1725729,1.05,653566.0,6.55,0
516530,42.15,16394386.0,4.81,8763942,6.16,8184273,0.99,1106175.0,3.28,0
4844203,54.47,41430981.0,25.63,22491128,22.59,19103001,0.7,1890250.0,11.97,0
-1550068,67.96,4750887.0,-13.57,909252,-128.35,4677501,1.14,1109783.0,-27.92,0
203095,,3509341.0,2.51,2113058,,1381885,,811876.0,,0
1318056,69.24,13251988.0,11.69,4869862,29.84,13123756,1.4,1326523.0,10.8,0
326569,36.58,8341380.0,2.05,5424937,6.06,2244267,0.58,1916880.0,3.82,0
1835995,45.28,12614809.0,4.86,8094071,23.11,7670020,1.02,3872000.0,14.65,0
7005801,43.1,151564006.0,2.04,87280830,8.4,112546603,1.75,32260002.0,4.78,1
371697,35.71,12343475.0,0.76,7923083,4.85,7440063,1.16,6327735.0,3.08,0
1033720,59.65,25204203.0,1.45,9130044,11.6,18300805,1.53,5950680.0,4.24,0
78618,22.59,5982799.0,0.23,4208206,1.88,2074046,0.64,3227358.0,1.3,0
517169,20.28,6142370.0,1.64,5296315,10.05,4567162,1.05,3160801.0,8.67,0
355605,17.44,6567985.0,1.36,5357483,6.67,5488349,1.46,2691134.0,5.36,0
328750,35.35,3417234.0,2.67,2029888,16.72,3165977,1.96,1230480.0,9.8,0
1703,46.95,2776143.0,0.01,1506404,0.11,2682733,1.69,1941485.0,0.06,0
146273,38.17,3041241.0,1.02,1797135,8.24,2984283,1.83,1442332.0,4.94,0
241980,11.27,5036954.0,1.0,4615594,5.48,2822947,1.0,2408647.0,4.94,0
156239,66.19,9253342.0,1.12,3138916,5.07,9207346,2.17,1395876.0,1.68,0
559500,48.7,12356914.0,1.88,6626859,8.48,8181056,1.21,2980811.0,4.57,0
995601,73.09,25340484.0,3.84,6955389,14.96,17621763,1.34,2941330.0,3.99,0
1895095,34.23,13104121.0,9.34,7978454,24.75,9168195,1.44,1362864.0,15.1,0
174129,52.83,11878285.0,0.76,5796077,3.01,4034992,0.6,2284419.0,1.45,0
539660,35.88,11120153.0,1.16,7484947,7.28,8481829,1.35,4770163.0,4.88,0
-1471647,54.63,34103627.0,-1.22,14911806,-9.67,18763159,1.12,8857031.0,-4.17,0
205022,40.26,13226389.0,0.39,8388383,2.48,7769066,1.18,5477522.0,1.56,0
721519,53.64,14955981.0,1.7,7107429,10.11,17484401,1.99,4204926.0,4.84,0
91433,6.27,2484080.0,0.61,2339296,3.96,475644,0.42,1509517.0,3.72,0
2399546,41.89,24281825.0,1.68,16343964,14.76,25849191,1.99,10168248.0,9.94,0
2493217,59.25,56188625.0,2.05,23238302,11.08,38370366,1.3,12402795.0,4.55,0
625560,32.93,7049447.0,2.93,4905835,12.99,4305400,0.99,1786961.0,9.01,0
524306,46.36,4799421.0,2.43,2477377,19.67,2752601,1.36,1889952.0,10.75,0
2452881,32.95,76346127.0,2.5,51308711,4.79,10169742,0.3,9800000.0,3.22,0
708027,39.14,11642873.0,3.09,6810426,10.67,5363774,1.11,2369044.0,6.13,0
25477,28.02,3140270.0,0.2,1946526,1.31,1746339,1.19,1278139.0,0.8,0
249050,36.12,5342572.0,1.37,3430670,7.52,7072520,2.75,1818300.0,4.73,0
830516,13.97,10286126.0,5.13,8763190,9.64,7987996,1.41,1620000.0,8.3,0
-153895,41.61,2298098.0,-1.26,1268603,1.32,1772950,1.58,1082500.0,0.72,0
383850,33.02,2595403.0,5.51,1868498,20.83,3058759,2.33,632339.0,15.03,0
171002,35.75,2476266.0,1.29,1876050,9.21,1065325,0.72,1329152.0,6.96,0
38595,23.78,650622.0,0.91,490521,7.97,620713,1.75,424439.0,6.06,0
94629,40.42,2651442.0,0.95,1646167,5.8,2005337,1.37,999502.0,3.58,0
-172559,45.87,6126915.0,-0.17,3143823,-5.51,2388452,0.69,1677221.0,-2.81,0
74010,49.53,3055063.0,0.74,1484544,5.1,2363415,1.91,993880.0,2.44,0
747354,66.08,31187089.0,2.24,10281725,7.66,28366756,1.59,3036166.0,2.44,0
374589,19.06,7797719.0,1.83,6364228,5.95,3130347,0.68,2000000.0,4.89,0
27901,28.91,3073954.0,0.36,1239967,2.28,1568637,1.46,767391.0,1.12,0
532063,41.4,3147140.0,6.86,2498663,21.7,1543589,0.6,775600.0,17.35,0
1174007,29.61,8237310.0,6.52,5764974,21.02,7778275,1.87,1800000.0,14.82,0
56019,40.81,1892973.0,0.65,1098867,5.17,1380972,1.53,703470.0,3.0,0
63311,28.19,956470.0,0.91,860227,7.45,457691,0.68,694650.0,6.71,0
128005,26.91,1890726.0,2.1,1404181,9.21,466881,0.41,610050.0,6.81,0
282067,12.12,11846763.0,0.36,10529403,2.68,3082928,0.42,7907392.0,2.37,0
1029651,56.78,19753418.0,4.22,8745414,12.11,10728583,0.85,2453540.0,5.37,0
2460548,50.34,89929777.0,0.85,46800197,5.81,41907654,0.82,29080608.0,2.97,0
-61775,54.99,1377771.0,-0.62,604837,-10.07,219762,0.16,1002654.0,-4.57,0
-402867,40.15,9894776.0,-0.93,5516902,-7.35,3609001,0.82,4337821.0,-4.09,0
117248,81.06,36797990.0,0.32,5070936,2.36,7656236,0.24,3699966.0,0.33,0
-96123,20.88,4295774.0,-0.36,3469158,-2.77,1860523,0.86,1670419.0,-2.23,0
79404,47.71,10738661.0,0.24,5951582,1.36,5102207,0.87,3698536.0,0.74,0
220056,33.02,2549013.0,3.04,1715527,13.01,2306521,1.61,726000.0,8.64,0
-135685,61.75,7521993.0,-0.52,3412685,-4.59,159473,0.05,2600391.0,-1.92,0
3743869,56.93,61005820.0,3.36,26786556,14.24,40074390,1.16,11082745.0,6.23,0
-312392,44.06,32670233.0,-0.18,16985754,-1.85,18616694,1.16,11028353.0,-0.99,0
93259,32.17,8355580.0,0.62,6372862,1.73,1245461,0.39,1510000.0,1.27,0
6603903,58.06,123771210.0,3.14,58287999,11.73,73234546,1.07,16603715.0,5.41,0
927510,68.28,73676851.0,0.77,25423046,3.88,41600592,1.17,12776857.0,1.28,0
2257833,50.17,636082697.0,0.05,323106981,0.71,314783301,0.96,157731290.0,0.36,1
3556583,49.04,44421087.0,3.52,27707825,13.46,42866290,1.63,10587599.0,8.0,0
-484760,72.97,12939217.0,-0.89,7424561,-6.7,5589791,0.51,5306516.0,-2.95,0
-32794,52.64,6662194.0,-0.16,2772158,-1.26,962510,0.4,2008523.0,-0.54,0
79210,30.55,6038411.0,0.22,4548719,1.93,2260596,0.86,3596222.0,1.44,0
522395,38.29,18271473.0,0.79,10995110,4.82,19228310,1.64,6476554.0,2.85,0
263036,60.47,10745473.0,0.75,4131457,6.55,8054615,1.45,2877740.0,2.48,0
630701,70.26,14723286.0,3.26,4807058,13.5,13242169,1.97,2000000.0,4.28,0
528260,52.18,27100057.0,0.37,15233274,3.64,36790154,2.37,14355444.0,1.93,0
2619426,14.81,23013862.0,4.5,19468210,13.76,27298051,2.24,5815994.0,11.73,0
65923,39.89,9386739.0,0.04,5271719,1.29,3493012,0.84,3418675.0,0.72,0
392144,50.32,6777379.0,1.76,3144355,12.82,5073767,1.24,2225261.0,5.76,0
-219823,38.45,8162208.0,-0.39,5451198,-4.04,7930384,2.2,4797520.0,-2.63,0
517588,67.23,84032370.0,0.39,27831114,1.88,55421795,1.25,18905695.0,0.62,0
26843,46.37,1923232.0,0.28,1136592,2.38,1184430,1.01,975000.0,1.37,0
-209678,67.38,1754625.0,-0.75,434108,-47.3,803775,1.06,2811673.0,-12.2,0
-101458,64.84,98131485.0,-0.44,36956956,-0.3,59234909,1.33,16584659.0,-0.1,0
